id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
6230,Zuppe,zuppe,100645,2,3,0,1,10.0,0
100102,Pollo e Tacchino,pollo-tacchino,1,1,7,0,0,,0
100103,Maiale,maiale,1,1,6,0,0,,0
100112,Frutta fresca,frutta-fresca,3,1,5,0,0,,0
100113,Verdura fresca,verdura-fresca,3,1,4,0,0,,0
100115,Aromi,aromi,3,1,2,0,0,,0
100118,Formaggi da Banco,formaggi-banco,4,1,5,0,0,,0
100136,Salumi da Banco,salumi-banco,4,1,3,0,0,,0
100137,Salami e Tranci,salami-tranci,4,1,1,0,0,,0
100138,Salumi Confezionati,salumi-confezionati,4,1,2,0,0,,0
100139,Latte,latte,6,1,8,24,0,,0
100140,Bevande Vegetali,bevande-vegetali,6,1,7,24,0,,0
100141,Uova,uova,28,1,6,0,0,,0
100142,Yogurt e Snack bimbo,yogurt-snack-bimbo,6,1,2,0,0,,0
100144,Yogurt,yogurt,6,1,4,0,0,,0
100146,Pane a Fette,pane-fette,8,1,4,0,0,,0
100148,Banco Gastronomia,banco-gastronomia,13,1,9,0,0,,0
100149,Sandwiches e Piadine,sandwiches-piadine,,1,0,0,0,,0
100150,Sughi pronti,sughi-pronti,27,1,7,0,0,,0
100151,Pasta Ripiena e Gnocchi,pasta-ripiena-gnocchi,12,1,5,0,0,,0
100152,Pasta fresca,pasta-fresca,12,1,6,0,0,,0
100153,Salmone e altre specialità,salmone-specialita,,1,0,0,0,,0
100154,Cereali e Muesli,cereali-muesli,11,1,9,0,0,,0
100155,Biscotti e Fette Biscottate,biscotti-fette-biscottate,11,1,8,0,0,,0
100156,Caffè,caffe,10,1,5,0,0,,0
100157,"Confetture, miele e creme",confetture-miele-creme,11,1,6,0,0,,0
100158,Cioccolato,cioccolato,11,1,4,0,0,,0
100159,Caramelle e Chewing Gum,caramelle-chewing-gum,11,1,2,0,0,,0
100160,Pelati e passate,pelati-passate,27,1,8,0,0,,0
100161,"Spezie, Dadi e Insaporitori",spezie-dadi-insaporitori,27,1,1,0,0,,0
100162,Pasta Secca,pasta-secca,12,1,7,0,0,,0
100163,Farina e amido,farina-amido,28,1,5,0,0,,0
100164,Preparati per dolci,preparati-dolci,28,1,2,0,0,,0
100165,"Olio, aceto e sale",olio-aceto-sale,27,1,6,0,0,,0
100166,"Olive, Sottoli e Sottaceti",olive-sottoli-sottaceti,27,1,3,0,0,,0
100167,Salse e patè,salse-pate,27,1,2,0,0,,0
100168,Pesce e carne in scatola,pesce-carne-scatola,27,1,5,0,0,,0
100170,Legumi e cereali,legumi-cereali,27,1,4,0,0,,0
100171,Snack Salati,snack-salati,11,1,1,0,0,,0
100172,Integratori e dietetici,integratori-dietetici,13,1,7,0,0,,0
100174,Vegetariano,vegetariano,32,1,2,0,0,,0
100175,Prodotti Etnici,prodotti-etnici,27,1,0,0,0,,0
100176,Automobile,automobile,13,1,5,0,0,,0
100181,"Verdure, Legumi e Aromi",verdure-legumi-aromi,15,1,0,0,0,,0
100182,Piatti Pronti,piatti-pronti-surgelati,15,1,0,0,0,,0
100183,Pesce,pesce-surgelato,15,1,0,0,0,,0
100184,Pizze e Torte Salate,pizze-torte-salate,15,1,0,0,0,,0
100185,Pane e Brioches,pane-brioches-surgelati,15,1,0,0,0,,0
100186,Gelati,gelati,15,1,0,0,0,,0
100187,Succhi e Sciroppi,succhi-sciroppi,16,1,6,24,0,,0
100188,Bibite,bibite,16,1,5,24,0,,0
100189,Tè pronti e in polvere,te-pronti-polvere,,1,0,0,0,,0
100191,Acqua,acqua,16,1,7,24,0,,0
100192,Birra,birra,16,1,3,24,0,,0
100193,Vino,vino,16,1,2,24,0,,0
100194,Aperitivi,aperitivi,16,1,4,24,0,,0
100195,Superalcolici,superalcolici,16,1,1,24,0,,0
100196,"Gin, Vodka, Rum e Tequila",gin-vodka-rum-tequila,16,1,0,0,0,,0
100197,"Grappe, Cognac e Brandy",grappe-cognac-brandy,16,1,0,0,0,,0
100198,Whisky,whisky,16,1,0,0,0,,0
100199,Alimenti per Cani,alimenti-cani,17,1,6,0,0,,0
100200,Alimenti per Gatti,alimenti-gatti,17,1,5,0,0,,0
100201,Alimenti per piccoli animali,alimenti-piccoli-animali,17,1,4,0,0,,0
100202,Accessori e giochi,accessori-giochi,17,1,3,0,0,,0
100203,Lettiere e Deodoranti,lettiere-deodoranti,17,1,2,0,0,,0
100204,Antiparassitari,antiparassitari,17,1,1,0,0,,0
100206,Alimenti per l'infanzia,alimenti-infanzia,18,1,4,0,0,,0
100207,Biberon e Succhietti,biberon-succhietti,18,1,3,0,0,,0
100209,Igiene e cura del Bimbo,igiene-cura-bimbo,18,1,2,0,0,,0
100210,Pannolini e Salviette,pannolini-salviette,18,1,1,0,0,,0
100211,Giochi e accessori,giochi-accessori,18,1,0,0,0,,0
100212,Make Up,make-up,19,1,14,0,0,,0
100213,Capelli,capelli,19,1,12,0,0,,0
100214,Viso,viso,19,1,13,0,0,,0
100215,Corpo,corpo,19,1,11,0,0,,0
100216,Mani e Piedi,mani-piedi,19,1,8,0,0,,0
100217,Igiene corpo,igiene-corpo,19,1,2,0,0,,0
100218,Igiene orale,igiene-orale,19,1,9,0,0,,0
